book_num,hebrew_ot_num,book_name,cambridge_abbrev,logos_most_common_abbrev,num_chapters,ot_nt,author,classifications
01,01,Genesis,Ge.,Ge.,50,ot,Moses,Pentateuch
02,02,Exodus,Ex.,Ex.,40,ot,Moses,Pentateuch
03,03,Leviticus,Lev.,Lev.,27,ot,Moses,Pentateuch
04,04,Numbers,Nu.,Num.,36,ot,Moses,Pentateuch
05,05,Deuteronomy,Deu.,Deut.,34,ot,Moses,Pentateuch
06,06,Joshua,Jos.,Josh.,24,ot,Joshua,historical_book
07,07,Judges,Judg.,Judg.,21,ot,,historical_book
08,31,Ruth,Ru.,Ruth,4,ot,,historical_book
09,08,1 Samuel,1 Sa.,1 Sam.,31,ot,,historical_book
10,09,2 Samuel,2 Sa.,2 Sam.,24,ot,,historical_book
11,10,1 Kings,1 Ki.,1 Kings,22,ot,,historical_book
12,11,2 Kings,2 Ki.,2 Kings,25,ot,,historical_book
13,38,1 Chronicles,1 Ch.,1 Chron,29,ot,,historical_book
14,39,2 Chronicles,2 Ch.,2 Chron,36,ot,,historical_book
15,36,Ezra,Ezr.,Ezra,10,ot,Ezra,historical_book
16,37,Nehemiah,Ne.,Neh.,13,ot,Nehemiah,historical_book
17,34,Esther,Esth.,Est.,10,ot,,historical_book
18,29,Job,Job,Job,42,ot,,wisdom poetry
19,27,Psalms,Ps.,Ps.,150,ot,David,wisdom poetry
20,28,Proverbs,Pro.,Prov.,31,ot,Solomon,wisdom poetry
21,33,Ecclesiastes,Ecc.,Eccles.,12,ot,Solomon,wisdom poetry
22,30,Song of Solomon,Cant.,Song,8,ot,Solomon,wisdom poetry
23,12,Isaiah,Isa.,Isa.,66,ot,Isaiah,major_prophet
24,13,Jeremiah,Jer.,Jer.,52,ot,Jeremiah,major_prophet
25,32,Lamentations,Lam.,Lam.,5,ot,Jeremiah,major_prophet poetry
26,14,Ezekiel,Ezek.,Ezek.,48,ot,Ezekiel,major_prophet
27,35,Daniel,Dan.,Dan.,12,ot,Daniel,major_prophet
28,15,Hosea,Hos.,Hos.,14,ot,Hosea,minor_prophet
29,16,Joel,Joel,Joel,3,ot,Joel,minor_prophet
30,17,Amos,Am.,Amos,9,ot,Amos,minor_prophet
31,18,Obadiah,Ob.,Obad.,1,ot,Obadiah,minor_prophet
32,19,Jonah,Jon.,Jonah,4,ot,Jonah,minor_prophet
33,20,Micah,Mi.,Mic.,7,ot,Micah,minor_prophet
34,21,Nahum,Na.,Nah.,3,ot,Nahum,minor_prophet
35,22,Habakkuk,Hab.,Hab.,3,ot,Habakkuk,minor_prophet
36,23,Zephaniah,Zeph.,Zeph.,3,ot,Zephaniah,minor_prophet
37,24,Haggai,Hag.,Hag.,2,ot,Haggai,minor_prophet
38,25,Zechariah,Zech.,Zech.,14,ot,Zechariah,minor_prophet
39,26,Malachi,Mal.,Mal.,4,ot,Malachi,minor_prophet
40,,Matthew,Mt.,Matt.,28,nt,Matthew,synoptic_gospel historical_book
41,,Mark,Mk.,Mark,16,nt,Mark,synoptic_gospel historical_book
42,,Luke,Lk.,Luke,24,nt,Luke,synoptic_gospel historical_book
43,,John,Jn.,John,21,nt,John,gospel historical_book
44,,Acts,Ac.,Acts,28,nt,Luke,historical_book
45,,Romans,Ro.,Rom.,16,nt,Paul,pauline_epistle church_epistle
46,,1 Corinthians,1 Co.,1 Cor.,16,nt,Paul,pauline_epistle church_epistle
47,,2 Corinthians,2 Co.,2 Cor.,13,nt,Paul,pauline_epistle church_epistle
48,,Galatians,Ga.,Gal.,6,nt,Paul,pauline_epistle church_epistle
49,,Ephesians,Eph.,Eph.,6,nt,Paul,pauline_epistle church_epistle prison_epistle
50,,Philippians,Phil.,Phil.,4,nt,Paul,pauline_epistle church_epistle prison_epistle
51,,Colossians,Col.,Col.,4,nt,Paul,pauline_epistle church_epistle prison_epistle
52,,1 Thessalonians,1 Th.,1 Thess.,5,nt,Paul,pauline_epistle church_epistle
53,,2 Thessalonians,2 Th.,2 Thess.,3,nt,Paul,pauline_epistle church_epistle
54,,1 Timothy,1 Tim.,1 Tim.,6,nt,Paul,pauline_epistle pastoral_epistle
55,,2 Timothy,2 Tim.,2 Tim.,4,nt,Paul,pauline_epistle pastoral_epistle
56,,Titus,Tit.,Titus,3,nt,Paul,pauline_epistle pastoral_epistle
57,,Philemon,Philem.,Philem.,1,nt,Paul,pauline_epistle prison_epistle
58,,Hebrews,He.,Heb.,13,nt,Paul,pauline_epistle
59,,James,Jas.,James,5,nt,James,general_epistle catholic_epistle
60,,1 Peter,1 Pe.,1 Pet.,5,nt,Peter,general_epistle catholic_epistle
61,,2 Peter,2 Pe.,2 Pet.,3,nt,Peter,general_epistle catholic_epistle
62,,1 John,1 Jn.,1 John,5,nt,John,general_epistle catholic_epistle
63,,2 John,2 Jn.,2 John,1,nt,John,general_epistle catholic_epistle
64,,3 John,3 Jn.,3 John,1,nt,John,general_epistle catholic_epistle
65,,Jude,Jude,Jude,1,nt,Jude,general_epistle catholic_epistle
66,,Revelation,Rev.,Rev.,22,nt,John,prophecy
